,player_id,player,year,round,pick,position,school,last name,first name
0,9101.0,Alaa Abdelnaby,1990,1,25,PF,Duke,Abdelnaby,Alaa
1,9105.0,Tariq Abdul-Wahad,1997,1,11,SF,San Jose State,Abdul-Wahad,Tariq
2,9106.0,Shareef Abdur-Rahim,1996,1,3,F,California,Abdur-Rahim,Shareef
3,9111.0,Alex Acker,2005,2,60,G,Pepperdine,Acker,Alex
4,9113.0,Mark Acres,1985,2,40,F/C,Oral Roberts,Acres,Mark
5,9115.0,Quincy Acy,2012,2,37,PF,Baylor,Acy,Quincy
6,9119.0,Hassan Adams,2006,2,54,G,Arizona,Adams,Hassan
7,9120.0,Jordan Adams,2014,1,22,SG,UCLA,Adams,Jordan
8,9122.0,Steven Adams,2013,1,12,C,Pittsburgh,Adams,Steven
9,9123.0,Rafael Addison,1986,2,39,SF,Syracuse,Addison,Rafael
10,9124.0,Bam Adebayo,2017,1,14,PF/C,Kentucky,Adebayo,Bam
11,9127.0,Arron Afflalo,2007,1,27,SG,UCLA,Afflalo,Arron
12,9128.0,Maurice Ager,2006,1,28,G,Michigan State,Ager,Maurice
13,9129.0,Mark Aguirre,1981,1,1,G/F,DePaul,Aguirre,Mark
14,9131.0,Danny Ainge,1981,2,31,G/F,Brigham Young,Ainge,Danny
15,9136.0,Solomon Alabi,2010,2,50,C,Florida State,Alabi,Solomon
16,9137.0,Mark Alarie,1986,1,18,PF,Duke,Alarie,Mark
17,9139.0,Furkan Aldemir,2012,2,53,PF,Galatasaray,Aldemir,Furkan
18,9140.0,Cole Aldrich,2010,1,11,C,Kansas,Aldrich,Cole
19,9141.0,LaMarcus Aldridge,2006,1,2,PF,Texas,Aldridge,LaMarcus
20,9144.0,Cory Alexander,1995,1,29,PG,Virginia,Alexander,Cory
21,9145.0,Courtney Alexander,2000,1,13,SG,Fresno State,Alexander,Courtney
22,9147.0,Joe Alexander,2008,1,8,SF,West Virginia,Alexander,Joe
23,9148.0,Victor Alexander,1991,1,17,C,Iowa State,Alexander,Victor
24,9149.0,Steve Alford,1987,2,26,SG,Indiana,Alford,Steve
25,9152.0,Jarrett Allen,2017,1,22,C,Texas,Allen,Jarrett
26,9153.0,Jerome Allen,1995,2,49,G,Pennsylvania,Allen,Jerome
27,9154.0,Kadeem Allen,2017,2,53,SG,Arizona,Allen,Kadeem
28,9155.0,Lavoy Allen,2011,2,50,PF,Temple,Allen,Lavoy
29,9159.0,Ray Allen,1996,1,5,G,Connecticut,Allen,Ray
30,9160.0,Tony Allen,2004,1,25,SG,Oklahoma State,Allen,Tony
31,9165.0,Morris Almond,2007,1,25,SG,Rice,Almond,Morris
32,9166.0,Derrick Alston,1994,2,33,F,Duquesne,Alston,Derrick
33,9167.0,Rafer Alston,1998,2,39,PG,Fresno State,Alston,Rafer
34,9171.0,Al-Farouq Aminu,2010,1,8,SF,Wake Forest,Aminu,Al-Farouq
35,9175.0,David Andersen,2002,2,37,C,Virtus Bologna,Andersen,David
36,9182.0,Derek Anderson,1997,1,13,SG,Kentucky,Anderson,Derek
37,9183.0,Dwight Anderson,1982,2,41,G,USC,Anderson,Dwight
38,9187.0,James Anderson,2010,1,20,SG,Oklahoma State,Anderson,James
39,9189.0,Justin Anderson,2015,1,21,SF,Virginia,Anderson,Justin
40,9190.0,Kenny Anderson,1991,1,2,PG,Georgia Tech,Anderson,Kenny
41,9192.0,Kyle Anderson,2014,1,30,SF,UCLA,Anderson,Kyle
42,9194.0,Nick Anderson,1989,1,11,SF/SG,Illinois,Anderson,Nick
43,9195.0,Richard Anderson,1982,2,32,PF,UC Santa Barbara,Anderson,Richard
44,9196.0,Ron Anderson,1984,2,27,G/F,Fresno State,Anderson,Ron
45,9197.0,Ryan Anderson,2008,1,21,PF,California,Anderson,Ryan
46,9198.0,Shandon Anderson,1996,2,54,F,Georgia,Anderson,Shandon
47,9199.0,Willie Anderson,1988,1,10,SG,Georgia,Anderson,Willie
48,9203.0,Ike Anigbogu,2017,2,47,C,UCLA,Anigbogu,Ike
49,9204.0,Michael Ansley,1989,2,37,F,Alabama,Ansley,Michael
50,9205.0,Chris Anstey,1997,1,18,PF,SE Melbourne Magic,Anstey,Chris
51,9206.0,Giannis Antetokounmpo,2013,1,15,SF/PF,Filathlitikos,Antetokounmpo,Giannis
52,9207.0,Thanasis Antetokounmpo,2014,2,51,SF,Delaware 87ers,Antetokounmpo,Thanasis
53,9208.0,Carmelo Anthony,2003,1,3,SF,Syracuse,Anthony,Carmelo
54,9209.0,Greg Anthony,1991,1,12,PG,UNLV,Anthony,Greg
55,9212.0,OG Anunoby,2017,1,23,SF,Indiana,Anunoby,OG
56,9216.0,Robert Archibald,2002,2,32,PF,Illinois,Archibald,Robert
57,9220.0,Gilbert Arenas,2001,2,31,PG,Arizona,Arenas,Gilbert
58,9221.0,Trevor Ariza,2004,2,43,SF,UCLA,Ariza,Trevor
59,9226.0,Brandon Armstrong,2001,1,23,SG,Pepperdine,Armstrong,Brandon
60,9229.0,Hilton Armstrong,2006,1,12,C,Connecticut,Armstrong,Hilton
61,9235.0,Darrell Arthur,2008,1,27,PF,Kansas,Arthur,Darrell
62,9239.0,Vincent Askew,1987,2,39,SG/SF,Memphis State,Askew,Vincent
63,9246.0,Stacey Augmon,1991,1,9,SG/SF,UNLV,Augmon,Stacey
64,9248.0,James Augustine,2006,2,41,F,Illinois,Augustine,James
65,9249.0,Isaac Austin,1991,2,48,C,Arizona State,Austin,Isaac
66,9252.0,Anthony Avent,1991,1,15,PF,Seton Hall,Avent,Anthony
67,9254.0,William Avery,1999,1,14,PG,Duke,Avery,William
68,9260.0,Luke Babbitt,2010,1,16,SF,Nevada,Babbitt,Luke
69,9263.0,Dwayne Bacon,2017,2,40,SG,Florida State,Bacon,Dwayne
70,9267.0,John Bagley,1982,1,12,PG,Boston College,Bagley,John
71,9271.0,Thurl Bailey,1983,1,7,PF,NC State,Bailey,Thurl
72,9272.0,Toby Bailey,1998,2,45,SG,UCLA,Bailey,Toby
73,9273.0,Cameron Bairstow,2014,2,49,PF/C,New Mexico,Bairstow,Cameron
74,9279.0,Vin Baker,1993,1,8,PF,Hartford,Baker,Vin
75,9281.0,Renaldo Balkman,2006,1,20,F,South Carolina,Balkman,Renaldo
76,9283.0,Lonzo Ball,2017,1,2,PG,UCLA,Ball,Lonzo
77,9286.0,Gene Banks,1981,2,28,G/F,Duke,Banks,Gene
78,9287.0,Marcus Banks,2003,1,13,PG,UNLV,Banks,Marcus
79,9292.0,Leandro Barbosa,2003,1,28,SG,Bauru Tilibra,Barbosa,Leandro
80,9293.0,Steve Bardo,1990,2,41,G,Illinois,Bardo,Steve
81,9295.0,Andrea Bargnani,2006,1,1,PF,Benetton Treviso,Bargnani,Andrea
82,9298.0,Charles Barkley,1984,1,5,F,Auburn,Barkley,Charles
83,9299.0,Erick Barkley,2000,1,28,PG,St. John's,Barkley,Erick
84,9301.0,Harrison Barnes,2012,1,7,SF,North Carolina,Barnes,Harrison
85,9305.0,Matt Barnes,2002,2,46,SF,UCLA,Barnes,Matt
86,9319.0,Dana Barros,1989,1,16,PG,Boston College,Barros,Dana
87,9320.0,Brent Barry,1995,1,15,SG,Oregon State,Barry,Brent
88,9321.0,Drew Barry,1996,2,57,G,Georgia Tech,Barry,Drew
89,9322.0,Jon Barry,1992,1,21,SG,Georgia Tech,Barry,Jon
90,9326.0,Will Barton,2012,2,40,SG,Memphis,Barton,Will
91,9329.0,Brandon Bass,2005,2,33,F,LSU,Bass,Brandon
92,9331.0,Maceo Baston,1998,2,58,PF,Michigan,Baston,Maceo
93,9336.0,Tony Battie,1997,1,5,C/F,Texas Tech,Battie,Tony
94,9337.0,Shane Battier,2001,1,6,SF,Duke,Battier,Shane
95,9339.0,Kenny Battle,1989,1,27,PF,Illinois,Battle,Kenny
96,9342.0,Nicolas Batum,2008,1,25,SF,Le Mans,Batum,Nicolas
97,9345.0,Lonny Baxter,2002,2,44,PF,Maryland,Baxter,Lonny
98,9346.0,Jerryd Bayless,2008,1,11,PG,Arizona,Bayless,Jerryd
99,9353.0,Bradley Beal,2012,1,3,SG,Florida,Beal,Bradley
100,9358.0,Jerome Beasley,2003,2,33,PF,North Dakota,Beasley,Jerome
101,9360.0,Malik Beasley,2016,1,19,SG,Florida State,Beasley,Malik
102,9361.0,Michael Beasley,2008,1,2,PF,Kansas State,Beasley,Michael
103,9363.0,Rodrigue Beaubois,2009,1,25,PG,Cholet,Beaubois,Rodrigue
104,9370.0,William Bedford,1986,1,6,C,Memphis State,Bedford,William
105,9374.0,Marco Belinelli,2007,1,18,SG,Fortitudo Bologna,Belinelli,Marco
106,9377.0,Jordan Bell,2017,2,38,PF,Oregon,Bell,Jordan
107,9379.0,Troy Bell,2003,1,16,PG,Boston College,Bell,Troy
108,9382.0,DeAndre' Bembry,2016,1,21,SF,Saint Joseph's,Bembry,DeAndre'
109,9385.0,Dragan Bender,2016,1,4,PF/C,Maccabi FOX Tel Aviv,Bender,Dragan
110,9386.0,Jonathan Bender,1999,1,5,PF,Picayune Memorial HS,Bender,Jonathan
111,9388.0,Benoit Benjamin,1985,1,3,C,Creighton,Benjamin,Benoit
112,9389.0,Corey Benjamin,1998,1,28,SG,Oregon State,Benjamin,Corey
113,9390.0,Anthony Bennett,2013,1,1,PF/SF,UNLV,Bennett,Anthony
114,9391.0,Elmer Bennett,1992,2,38,G,Notre Dame,Bennett,Elmer
115,9392.0,Mario Bennett,1995,1,27,PF,Arizona State,Bennett,Mario
116,9395.0,Tony Bennett,1992,2,35,G,Wisconsin Green Bay,Bennett,Tony
117,9398.0,Keith Benson,2011,2,48,C,Oakland,Benson,Keith
118,9400.0,Ben Bentil,2016,2,51,PF,Providence,Bentil,Ben
119,9404.0,Ricky Berry,1988,1,18,SG,San Jose State,Berry,Ricky
120,9405.0,Walter Berry,1986,1,14,SF/PF,St. John's,Berry,Walter
121,9408.0,Travis Best,1995,1,23,PG,Georgia Tech,Best,Travis
122,9409.0,Patrick Beverley,2009,2,42,PG,Arkansas,Beverley,Patrick
123,9415.0,Mike Bibby,1998,1,2,PG,Arizona,Bibby,Mike
124,9421.0,Chauncey Billups,1997,1,3,PG,Colorado,Billups,Chauncey
125,9425.0,Jabari Bird,2017,2,56,SG,California,Bird,Jabari
126,9430.0,Bismack Biyombo,2011,1,7,C,Fuenlabrada,Biyombo,Bismack
127,9431.0,Nemanja Bjelica,2010,2,35,SF,Red Star Belgrade,Bjelica,Nemanja
128,9432.0,Uwe Blab,1985,1,17,C,Indiana,Blab,Uwe
129,9437.0,Rolando Blackman,1981,1,9,G,Kansas State,Blackman,Rolando
130,9439.0,Cory Blackwell,1984,2,28,F,Wisconsin,Blackwell,Cory
131,9441.0,Nate Blackwell,1987,2,27,PG,Temple,Blackwell,Nate
132,9442.0,DeJuan Blair,2009,2,37,PF,Pittsburgh,Blair,DeJuan
133,9443.0,Steve Blake,2003,2,38,PG,Maryland,Blake,Steve
134,9445.0,Will Blalock,2006,2,60,G,Iowa State,Blalock,Will
135,9447.0,Lance Blanks,1990,1,26,PG/SG,Texas,Blanks,Lance
136,9448.0,Ricky Blanton,1989,2,46,F,LSU,Blanton,Ricky
137,9449.0,Andray Blatche,2005,2,49,F,South Kent School,Blatche,Andray
138,9450.0,Mookie Blaylock,1989,1,12,PG,Oklahoma,Blaylock,Mookie
139,9451.0,Eric Bledsoe,2010,1,18,PG,Kentucky,Bledsoe,Eric
140,9455.0,Corie Blount,1993,1,25,PF,Cincinnati,Blount,Corie
141,9456.0,Mark Blount,1997,2,54,C,Pittsburgh,Blount,Mark
142,9458.0,Ray Blume,1981,2,36,G,Oregon State,Blume,Ray
143,9463.0,Keith Bogans,2003,2,43,SG,Kentucky,Bogans,Keith
144,9466.0,Muggsy Bogues,1987,1,12,PG,Wake Forest,Bogues,Muggsy
145,9467.0,Andrew Bogut,2005,1,1,C,Utah,Bogut,Andrew
146,9469.0,Manute Bol,1985,2,31,C,Bridgeport,Bol,Manute
147,9471.0,Joel Bolomboy,2016,2,52,PF/C,Weber State,Bolomboy,Joel
148,9478.0,Anthony Bonner,1990,1,23,PF/SF,Saint Louis,Bonner,Anthony
149,9479.0,Matt Bonner,2003,2,45,F,Florida,Bonner,Matt
150,9481.0,Devin Booker,2015,1,13,SG,Kentucky,Booker,Devin
151,9483.0,Trevor Booker,2010,1,23,PF,Clemson,Booker,Trevor
152,9484.0,Josh Boone,2006,1,23,F,Connecticut,Boone,Josh
153,9486.0,Calvin Booth,1999,2,35,C,Penn State,Booth,Calvin
154,9487.0,Keith Booth,1997,1,28,SF,Maryland,Booth,Keith
155,9489.0,Carlos Boozer,2002,2,35,PF,Duke,Boozer,Carlos
156,9490.0,Curtis Borchardt,2002,1,18,C,Stanford,Borchardt,Curtis
157,9495.0,Chris Bosh,2003,1,4,PF/C,Georgia Tech,Bosh,Chris
158,9499.0,Ruben Boumtje-Boumtje,2001,2,50,C,Georgetown,Boumtje-Boumtje,Ruben
159,9501.0,Cal Bowdler,1999,1,17,PF,Old Dominion,Bowdler,Cal
160,9503.0,Ryan Bowen,1998,2,55,SF,Iowa,Bowen,Ryan
161,9506.0,Sam Bowie,1984,1,2,C,Kentucky,Bowie,Sam
162,9510.0,Donnie Boyce,1995,2,42,G,Colorado,Boyce,Donnie
163,9519.0,Craig Brackins,2010,1,21,PF,Iowa State,Brackins,Craig
164,9523.0,Avery Bradley,2010,1,19,SG,Texas,Bradley,Avery
165,9526.0,Charles Bradley,1981,1,23,G,Wyoming,Bradley,Charles
166,9530.0,Michael Bradley,2001,1,17,PF,Villanova,Bradley,Michael
167,9531.0,Shawn Bradley,1993,1,2,C,BYU,Bradley,Shawn
168,9532.0,Tony Bradley,2017,1,28,PF/C,North Carolina,Bradley,Tony
169,9535.0,Torraye Braggs,1998,2,57,PF,Xavier,Braggs,Torraye
170,9537.0,Adrian Branch,1985,2,46,SF,Maryland,Branch,Adrian
171,9538.0,Elton Brand,1999,1,1,PF/C,Duke,Brand,Elton
172,9539.0,Terrell Brandon,1991,1,11,PG,Oregon,Brandon,Terrell
173,9541.0,Brad Branson,1980,2,45,F/C,SMU,Branson,Brad
174,9550.0,Randy Breuer,1983,1,18,C,Minnesota,Breuer,Randy
175,9551.0,Corey Brewer,1998,2,51,PG,Oklahoma,Brewer,Corey
176,9551.0,Corey Brewer,2007,1,7,SF,Florida,Brewer,Corey
177,9552.0,Jamison Brewer,2001,2,41,PG,Auburn,Brewer,Jamison
178,9555.0,Ronnie Brewer,2006,1,14,SG,Arkansas,Brewer,Ronnie
179,9567.0,Mike Brittain,1985,2,29,C,South Carolina,Brittain,Mike
180,9569.0,Jon Brockman,2009,2,38,PF,Washington,Brockman,Jon
181,9571.0,Malcolm Brogdon,2016,2,36,PG/SG,Virginia,Brogdon,Malcolm
182,9575.0,Aaron Brooks,2007,1,26,PG,Oregon,Brooks,Aaron
183,9576.0,Dillon Brooks,2017,2,45,SF,Oregon,Brooks,Dillon
184,9577.0,Kevin Brooks,1991,1,18,SF,Southwestern Louisiana,Brooks,Kevin
185,9578.0,MarShon Brooks,2011,1,25,SG,Providence,Brooks,MarShon
186,9579.0,Michael Brooks,1980,1,9,F,La Salle,Brooks,Michael
187,9582.0,Anthony Brown,2015,2,34,SF,Stanford,Brown,Anthony
188,9585.0,Chucky Brown,1989,2,43,PF,North Carolina State,Brown,Chucky
189,9586.0,Damone Brown,2001,2,37,SF,Syracuse,Brown,Damone
190,9588.0,Dee Brown,2006,2,46,G,Illinois,Brown,Dee
191,9589.0,Dee Brown,2006,2,46,G,Illinois,Brown,Dee
192,9588.0,Dee Brown,1990,1,19,SG,Jacksonville,Brown,Dee
193,9589.0,Dee Brown,1990,1,19,SG,Jacksonville,Brown,Dee
194,9590.0,Derrick Brown,2009,2,40,SF,Xavier,Brown,Derrick
195,9592.0,Ernest Brown,2000,2,52,C,Indian Hills CC,Brown,Ernest
196,9598.0,Jaylen Brown,2016,1,3,SF/SG,California,Brown,Jaylen
197,9600.0,Kedrick Brown,2001,1,11,SF,Okaloosa-Walton CC,Brown,Kedrick
198,9601.0,Kwame Brown,2001,1,1,C,Glynn Academy,Brown,Kwame
199,9605.0,Lorenzo Brown,2013,2,52,PG,NC State,Brown,Lorenzo
200,9606.0,Marcus Brown,1996,2,46,G,Murray State,Brown,Marcus
201,9607.0,Markel Brown,2014,2,44,SG,Oklahoma State,Brown,Markel
202,9609.0,Myron Brown,1991,2,34,G,Slippery Rock,Brown,Myron
203,9611.0,Randy Brown,1991,2,31,PG,New Mexico State,Brown,Randy
204,9613.0,Rickey Brown,1980,1,13,F/C,Mississippi State,Brown,Rickey
205,9616.0,Shannon Brown,2006,1,25,G,Michigan State,Brown,Shannon
206,9618.0,Sterling Brown,2017,2,46,SG,SMU,Brown,Sterling
207,9622.0,Stanley Brundy,1989,2,32,F,DePaul,Brundy,Stanley
208,9629.0,Kobe Bryant,1996,1,13,G,Lower Merion HS,Bryant,Kobe
209,9630.0,Mark Bryant,1988,1,21,PF,Seton Hall,Bryant,Mark
210,9631.0,Thomas Bryant,2017,2,42,PF,Indiana,Bryant,Thomas
211,9632.0,Wallace Bryant,1982,2,30,C,San Francisco,Bryant,Wallace
212,9638.0,Greg Buckner,1998,2,53,SG,Clemson,Buckner,Greg
213,9641.0,Chase Budinger,2009,2,44,SF,Arizona,Budinger,Chase
214,9643.0,Jud Buechler,1990,2,38,F/G,Arizona,Buechler,Jud
215,9644.0,Rodney Buford,1999,2,53,SG,Creighton,Buford,Rodney
216,9646.0,Reggie Bullock,2013,1,25,SF,North Carolina,Bullock,Reggie
217,9654.0,Trey Burke,2013,1,9,PG,Michigan,Burke,Trey
218,9656.0,Alec Burks,2011,1,12,SG,Colorado,Burks,Alec
219,9657.0,Antonio Burks,2004,2,36,PG,Memphis,Burks,Antonio
220,9662.0,Evers Burns,1993,2,31,F,Maryland,Burns,Evers
221,9664.0,Scott Burrell,1993,1,20,SF,Connecticut,Burrell,Scott
222,9666.0,Junior Burrough,1995,2,33,F,Virginia,Burrough,Junior
223,9669.0,Willie Burton,1990,1,9,SG,Minnesota,Burton,Willie
224,9670.0,Steve Burtt,1984,2,30,G,Iona,Burtt,Steve
225,9675.0,Caron Butler,2002,1,10,SF,Connecticut,Butler,Caron
226,9676.0,Greg Butler,1988,2,37,C,Stanford,Butler,Greg
227,9678.0,Jimmy Butler,2011,1,30,SG,Marquette,Butler,Jimmy
228,9681.0,Rasual Butler,2002,2,53,SF,La Salle,Butler,Rasual
229,9683.0,Derrick Byars,2007,2,42,SG,Vanderbilt,Byars,Derrick
230,9684.0,Andrew Bynum,2005,1,10,C,St. Joseph HS,Bynum,Andrew
231,9692.0,Bruno Caboclo,2014,1,20,SF,EC Pinheiros,Caboclo,Bruno
232,9693.0,Jason Caffey,1995,1,20,PF,Alabama,Caffey,Jason
233,9694.0,Michael Cage,1984,1,14,F/C,San Diego State,Cage,Michael
234,9696.0,Nick Calathes,2009,2,45,PG,Florida,Calathes,Nick
235,9701.0,Kentavious Caldwell-Pope,2013,1,8,SG,Georgia,Caldwell-Pope,Kentavious
236,9710.0,Marcus Camby,1996,1,2,C,Massachusetts,Camby,Marcus
237,9711.0,Elden Campbell,1990,1,27,PF/C,Clemson,Campbell,Elden
238,9712.0,Tony Campbell,1984,1,20,G/F,Ohio State,Campbell,Tony
239,9713.0,Isaiah Canaan,2013,2,34,PG,Murray State,Canaan,Isaiah
240,9715.0,Clint Capela,2014,1,25,C,Ã‰lan Chalon,Capela,Clint
241,9716.0,Derrick Caracter,2010,2,58,PF,UTEP,Caracter,Derrick
242,9718.0,Brian Cardinal,2000,2,44,PF,Purdue,Cardinal,Brian
243,9727.0,Rodney Carney,2006,1,16,SF,Memphis,Carney,Rodney
244,9729.0,Antoine Carr,1983,1,8,PF,Wichita State,Carr,Antoine
245,9731.0,Chris Carr,1995,2,56,G,Southern Illinois,Carr,Chris
246,9732.0,Cory Carr,1998,2,49,SG,Texas Tech,Carr,Cory
247,9737.0,DeMarre Carroll,2009,1,27,SF,Missouri,Carroll,DeMarre
248,9738.0,Joe Barry Carroll,1980,1,1,F/C,Purdue,Carroll,Joe Barry
249,9742.0,Butch Carter,1980,2,37,G,Indiana,Carter,Butch
250,9745.0,Howard Carter,1983,1,15,SG,LSU,Carter,Howard
251,9750.0,Vince Carter,1998,1,5,G/F,North Carolina,Carter,Vince
252,9751.0,Michael Carter-Williams,2013,1,11,PG,Syracuse,Carter-Williams,Michael
253,9757.0,Sam Cassell,1993,1,24,PG,Florida State,Cassell,Sam
254,9758.0,Omri Casspi,2009,1,23,SF,Maccabi Tel Aviv,Casspi,Omri
255,9760.0,Terry Catledge,1985,1,21,PF,South Alabama,Catledge,Terry
256,9762.0,Kelvin Cato,1997,1,15,C,Iowa State,Cato,Kelvin
257,9764.0,Willie Cauley-Stein,2015,1,6,C,Kentucky,Cauley-Stein,Willie
258,9765.0,Duane Causwell,1990,1,18,C,Temple,Causwell,Duane
259,9768.0,Cedric Ceballos,1990,2,48,F,Cal State Fullerton,Ceballos,Cedric
260,9769.0,John Celestand,1999,2,30,PG,Villanova,Celestand,John
261,9771.0,Lionel Chalmers,2004,2,33,PG,Xavier,Chalmers,Lionel
262,9772.0,Mario Chalmers,2008,2,34,PG,Kansas,Chalmers,Mario
263,9776.0,Tom Chambers,1981,1,8,F/C,Utah,Chambers,Tom
264,9778.0,Tyson Chandler,2001,1,2,C,Dominguez HS,Chandler,Tyson
265,9779.0,Wilson Chandler,2007,1,23,SF,DePaul,Chandler,Wilson
266,9782.0,Rex Chapman,1988,1,8,SG,Kentucky,Chapman,Rex
267,9786.0,Lorenzo Charles,1985,2,41,PF,NC State,Charles,Lorenzo
268,9787.0,Calbert Cheaney,1993,1,6,SG/SF,Indiana,Cheaney,Calbert
269,9791.0,Derrick Chievous,1988,1,16,SG,Missouri,Chievous,Derrick
270,9792.0,Pete Chilcutt,1991,1,27,PF,North Carolina,Chilcutt,Pete
271,9793.0,Josh Childress,2004,1,6,G/F,Stanford,Childress,Josh
272,9794.0,Randolph Childress,1995,1,19,PG,Wake Forest,Childress,Randolph
273,9798.0,Marquese Chriss,2016,1,8,PF,Washington,Chriss,Marquese
274,9802.0,Doug Christie,1992,1,17,SG,Pepperdine,Christie,Doug
275,9804.0,Rakeem Christmas,2015,2,36,PF/C,Syracuse,Christmas,Rakeem
276,9805.0,Semaj Christon,2014,2,55,PG,Xavier,Christon,Semaj
277,9811.0,Earl Clark,2009,1,14,SF,Louisville,Clark,Earl
278,9813.0,Keon Clark,1998,1,13,F/C,UNLV,Clark,Keon
279,9816.0,Jordan Clarkson,2014,2,46,PG,Missouri,Clarkson,Jordan
280,9820.0,Charles Claxton,1994,2,50,C,Georgia,Claxton,Charles
281,9821.0,Speedy Claxton,2000,1,20,PG,Hofstra,Claxton,Speedy
282,9823.0,Mateen Cleaves,2000,1,14,PG,Michigan State,Cleaves,Mateen
283,9835.0,Norris Cole,2011,1,28,PG,Cleveland State,Cole,Norris
284,9836.0,Ben Coleman,1984,2,37,F,Maryland,Coleman,Ben
285,9837.0,Derrick Coleman,1990,1,1,PF/C,Syracuse,Coleman,Derrick
286,9840.0,Norris Coleman,1987,2,38,SF,Kansas State,Coleman,Norris
287,9841.0,Bimbo Coles,1990,2,40,G,Virginia Tech,Coles,Bimbo
288,9842.0,Jason Collier,2000,1,15,C,Georgia Tech,Collier,Jason
289,9844.0,Don Collins,1980,1,18,G/F,Washington State,Collins,Don
290,9846.0,James Collins,1997,2,36,PG/SG,Florida State,Collins,James
291,9847.0,Jarron Collins,2001,2,53,F/C,Stanford,Collins,Jarron
292,9848.0,Jason Collins,2001,1,18,C,Stanford,Collins,Jason
293,9850.0,John Collins,2017,1,19,PF,Wake Forest,Collins,John
294,9851.0,Mardy Collins,2006,1,29,G,Temple,Collins,Mardy
295,9853.0,Zach Collins,2017,1,10,C/PF,Gonzaga,Collins,Zach
296,9855.0,Darren Collison,2009,1,21,PG,UCLA,Collison,Darren
297,9856.0,Nick Collison,2003,1,12,PF,Kansas,Collison,Nick
298,9859.0,Steve Colter,1984,2,33,G,New Mexico State,Colter,Steve
299,9861.0,Leroy Combs,1983,2,26,SF,Oklahoma State,Combs,Leroy
300,9863.0,Dallas Comegys,1987,1,21,C,DePaul,Comegys,Dallas
301,9868.0,Mike Conley,2007,1,4,PG,Ohio State,Conley,Mike
302,9871.0,Pat Connaughton,2015,2,41,SF,Notre Dame,Connaughton,Pat
303,9873.0,Lester Conner,1982,1,14,PG,Oregon State,Conner,Lester
304,9876.0,Anthony Cook,1989,1,24,PF/C,Arizona,Cook,Anthony
305,9879.0,Brian Cook,2003,1,24,PF,Illinois,Cook,Brian
306,9880.0,Daequan Cook,2007,1,21,SG,Ohio State,Cook,Daequan
307,9884.0,Omar Cook,2001,2,32,PG,St. John's,Cook,Omar
308,9891.0,Duane Cooper,1992,2,36,G,USC,Cooper,Duane
309,9899.0,Tyrone Corbin,1985,2,35,SF/PF,DePaul,Corbin,Tyrone
310,9900.0,Chris Corchiani,1991,2,36,G,NC State,Corchiani,Chris
311,9908.0,James Cotton,1997,2,32,SF,Long Beach State,Cotton,James
312,9914.0,DeMarcus Cousins,2010,1,5,C,Kentucky,Cousins,DeMarcus
313,9921.0,Allen Crabbe,2013,2,31,SG,California,Crabbe,Allen
314,9923.0,Chris Crawford,1997,2,50,SF,Marquette,Crawford,Chris
315,9925.0,Jamal Crawford,2000,1,8,SG,Michigan,Crawford,Jamal
316,9926.0,Joe Crawford,2008,2,58,SG,Kentucky,Crawford,Joe
317,9927.0,Jordan Crawford,2010,1,27,SG,Xavier,Crawford,Jordan
318,9935.0,Javaris Crittenton,2007,1,19,PG,Georgia Tech,Crittenton,Javaris
319,9940.0,Austin Croshere,1997,1,12,PF,Providence,Croshere,Austin
320,9943.0,Russell Cross,1983,1,6,C,Purdue,Cross,Russell
321,9949.0,Jae Crowder,2012,2,34,SF,Marquette,Crowder,Jae
322,9952.0,Terry Cummings,1982,1,2,PF,DePaul,Cummings,Terry
323,9953.0,Vonteego Cummings,1999,1,26,PG,Pittsburgh,Cummings,Vonteego
324,9955.0,Dante Cunningham,2009,2,33,PF,Villanova,Cunningham,Dante
325,9957.0,Jared Cunningham,2012,1,24,SG,Oregon St.,Cunningham,Jared
326,9962.0,Bill Curley,1994,1,22,PF,Boston College,Curley,Bill
327,9964.0,Dell Curry,1986,1,15,SG/SF,Virginia Tech,Curry,Dell
328,9965.0,Eddy Curry,2001,1,4,C,Thornwood HS,Curry,Eddy
329,9966.0,JamesOn Curry,2007,2,51,PG,Oklahoma State,Curry,JamesOn
330,9969.0,Stephen Curry,2009,1,7,PG,Davidson,Curry,Stephen
331,9974.0,Quintin Dailey,1982,1,7,SG,San Francisco,Dailey,Quintin
332,9975.0,Samuel Dalembert,2001,1,26,C,Seton Hall,Dalembert,Samuel
333,9977.0,Erick Dampier,1996,1,10,C,Mississippi State,Dampier,Erick
334,9980.0,Antonio Daniels,1997,1,4,PG,Bowling Green,Daniels,Antonio
335,9991.0,Yinka Dare,1994,1,14,C,George Washington,Dare,Yinka
336,9996.0,Brad Daugherty,1986,1,1,C,North Carolina,Daugherty,Brad
337,9999.0,Jermareo Davidson,2007,2,36,PF,Alabama,Davidson,Jermareo
338,10002.0,Anthony Davis,2012,1,1,PF/C,Kentucky,Davis,Anthony
339,10003.0,Antonio Davis,1990,2,45,F/C,UTEP,Davis,Antonio
340,10005.0,Baron Davis,1999,1,3,PG,UCLA,Davis,Baron
341,10006.0,Ben Davis,1996,2,43,F,Arizona,Davis,Ben
342,10010.0,Brian Davis,1992,2,48,F/G,Duke,Davis,Brian
343,10011.0,Charles Davis,1981,2,35,F,Vanderbilt,Davis,Charles
